MsgID.LOCAL_POSITION,1520303124.6059411,-0.0751979,-0.0234125,-0.1264572
MsgID.LOCAL_VELOCITY,1520303124.6059411,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6067588,-121.9939651,37.4137453,0.1300000
MsgID.LOCAL_VELOCITY,1520303124.6067588,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520303124.6074750,0.0305588,0.0059552,-0.1571215
MsgID.LOCAL_VELOCITY,1520303124.6074750,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6082189,-121.9939652,37.4137460,0.1590000
MsgID.LOCAL_VELOCITY,1520303124.6082189,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520303124.6091590,False,False
MsgID.GLOBAL_HOME,1520303124.6109910,-121.9939651,37.4137458,0.0000000
MsgID.LOCAL_POSITION,1520303124.6113620,-0.2089849,-0.1981284,-0.1823487
MsgID.LOCAL_VELOCITY,1520303124.6113620,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6118701,-121.9939675,37.4137438,0.1850000
MsgID.LOCAL_VELOCITY,1520303124.6118701,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520303124.6123390,-0.1446913,-0.1695368,-0.2021409
MsgID.LOCAL_VELOCITY,1520303124.6123390,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6126988,-121.9939668,37.4137448,0.2040000
MsgID.LOCAL_VELOCITY,1520303124.6126988,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520303124.6130471,0.0094618,-0.0442327,-0.2169211
MsgID.LOCAL_VELOCITY,1520303124.6130471,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6135261,-121.9939655,37.4137458,0.2180000
MsgID.LOCAL_VELOCITY,1520303124.6135261,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520303124.6140642,-0.2319445,-0.0322290,-0.2232349
MsgID.LOCAL_VELOCITY,1520303124.6140642,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6146519,-121.9939655,37.4137436,0.2230000
MsgID.LOCAL_VELOCITY,1520303124.6146519,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520303124.6151340,False,False
MsgID.GLOBAL_HOME,1520303124.6185548,-121.9939651,37.4137458,0.0000000
MsgID.LOCAL_POSITION,1520303124.6198800,-0.1902744,-0.0567020,-0.2197396
MsgID.LOCAL_VELOCITY,1520303124.6198800,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6213360,-121.9939661,37.4137445,0.2170000
MsgID.LOCAL_VELOCITY,1520303124.6213360,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520303124.6227510,-0.0942577,-0.1847898,-0.2034565
MsgID.LOCAL_VELOCITY,1520303124.6227510,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520303124.6238420,-121.9939671,37.4137449,0.2000000
MsgID.LOCAL_VELOCITY,1520303124.6238420,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520303124.6984780,-0.1612805,-0.0482373,-0.1919257
MsgID.LOCAL_VELOCITY,1520303124.6984780,-0.0001913,-0.0000279,-0.6316637
MsgID.GLOBAL_POSITION,1520303124.7241979,-121.9939654,37.4137444,0.2130000
MsgID.LOCAL_VELOCITY,1520303124.7241979,0.0000000,0.0000000,-0.9700000
MsgID.LOCAL_POSITION,1520303124.9480059,-0.0517661,-0.0343193,-0.6053205
MsgID.LOCAL_VELOCITY,1520303124.9480059,-0.0046684,-0.0116388,-2.5243614
MsgID.GLOBAL_POSITION,1520303124.9758780,-121.9939655,37.4137455,0.6580000
MsgID.LOCAL_VELOCITY,1520303124.9758780,0.0000000,-0.0100000,-2.6300000
MsgID.STATE,1520303125.1139209,True,True
MsgID.GLOBAL_HOME,1520303125.1856918,-121.9939651,37.4137458,0.0000000
MsgID.LOCAL_POSITION,1520303125.1996181,0.0672878,-0.0093081,-1.2510699
MsgID.LOCAL_VELOCITY,1520303125.1996181,-0.0065456,-0.0281273,-3.2586870
MsgID.GLOBAL_POSITION,1520303125.2253859,-121.9939650,37.4137465,1.3520000
MsgID.LOCAL_VELOCITY,1520303125.2253859,0.0000000,-0.0200000,-3.3600000
MsgID.LOCAL_POSITION,1520303125.4491589,0.0202302,0.1038992,-2.0701132
MsgID.LOCAL_VELOCITY,1520303125.4491589,-0.0264235,-0.0183621,-3.7315629
MsgID.GLOBAL_POSITION,1520303125.4787259,-121.9939639,37.4137460,2.1370000
MsgID.LOCAL_VELOCITY,1520303125.4787259,-0.0200000,-0.0100000,-3.7500000
MsgID.LOCAL_POSITION,1520303125.6977868,0.0147263,-0.0144614,-3.0457621
MsgID.LOCAL_VELOCITY,1520303125.6977868,-0.0344835,-0.0305301,-3.9297650
MsgID.GLOBAL_POSITION,1520303125.7262061,-121.9939655,37.4137459,3.1530000
MsgID.LOCAL_VELOCITY,1520303125.7262061,-0.0300000,-0.0300000,-3.9500000
